,0
0,Arkansas
1,California
2,Colorado
3,Connecticut
4,Delaware
5,Florida
6,Georgia
7,Idaho
8,Illinois
9,Kansas
10,Louisiana
11,Maryland
12,Massachusetts
13,Michigan
14,Minnesota
15,Mississippi
16,Missouri
17,Montana
18,Nebraska
19,New Hampshire
20,New Jersey
21,New Mexico
22,New York
23,North Carolina
24,North Dakota
25,Oklahoma
26,Pennsylvania
27,Rhode Island
28,South Carolina
29,South Dakota
30,Tennessee
31,Vermont
32,West Virginia
33,Wisconsin
34,Wyoming
